cohort,participant_id,subject,trained_ear,latin_order,block_order,status,stimulus,days,games,final_2x2,day1_impairment_deg,laser_offset_deg,exclusion_reason,block_1,block_2,block_3,block_4
run_2607_2609,1,FS,left,1,A-B-D-C,control_noise,noise,4,38,complete,+13.6,+3.3,noise-era pilot; not poolable with ripple. Reported timbre->elevation lookup on the frozen noise token (the reason the stimulus was changed). Report as noise control subgroup.,A: trained-ear / same-loc (baseline),B: trained-ear / mirrored-loc,D: untrained-ear / mirrored-loc (main),C: untrained-ear / same-loc
run_2607_2609,2,FP,left,2,B-C-A-D,excluded,ripple,4,38,missing,+9.3,+0.2,"Age 41, outside the 18-40 inclusion criterion (pre-registrable). Also aborted: day 4 = 1 PRE block + 5 games, no final 2x2. Cell L/2 reopened.",B: trained-ear / mirrored-loc,C: untrained-ear / same-loc,A: trained-ear / same-loc (baseline),D: untrained-ear / mirrored-loc (main)
run_2607_2609,3,AS,left,3,C-D-B-A,excluded,ripple,4,48,complete,+4.1,-2.8,"Fails the day-1 manipulation check (+2.5 deg vs the +8..+14 band): the composite barely bit, so there was nothing to relearn. Outcome-independent. Keep as a manipulation-check demonstration. Cell L/3 reopened.",C: untrained-ear / same-loc,D: untrained-ear / mirrored-loc (main),B: trained-ear / mirrored-loc,A: trained-ear / same-loc (baseline)
run_2607_2609,4,IR,left,4,D-A-C-B,control_noise,uso->noise,4,48,complete,+9.6,+2.2,"Noise-era pilot; day-1 baselines on uso, adaptation and finals on noise, so his pre-post change scores are stimulus-confounded. Report as noise control subgroup with that caveat.",D: untrained-ear / mirrored-loc (main),A: trained-ear / same-loc (baseline),C: untrained-ear / same-loc,B: trained-ear / mirrored-loc
run_2607_2609,5,LS,right,1,A-B-D-C,included,ripple,4,56,complete,+13.9,+0.1,"HOLD CLEARED 2026-09-11 (Paul: would not drop a subject over an azimuth render). The azimuth expansion (gain 1.31 in donor blocks vs 1.04 own) does not reach the outcome: removing it entirely moves her polar error by -0.9 to +0.9 deg, median -0.15, against a 5.9 deg band. Own-HRTF gain >1 (1.12-1.50) is response scaling and inflates her change scores proportionally at most. KEMAR pass on the right-trained render is still worth doing as a PIPELINE check before more right-trained builds.",A: trained-ear / same-loc (baseline),B: trained-ear / mirrored-loc,D: untrained-ear / mirrored-loc (main),C: untrained-ear / same-loc
run_2607_2609,6,NR,right,2,B-C-A-D,excluded,ripple,3,17,missing,+9.3,+0.6,"Protocol non-completion: 3 days, 17 training games (vs 38-56), no final 2x2. NB the dome EG 0.74 gate is NOT a valid reason (0.18/0.45/0.74 in one sitting, inside the 21-trial noise band). Cell R/2 reopened.",B: trained-ear / mirrored-loc,C: untrained-ear / same-loc,A: trained-ear / same-loc (baseline),D: untrained-ear / mirrored-loc (main)
run_2607_2609,7,GM,right,3,C-D-B-A,included,ripple trained / noise tested,4,48,complete,+5.8,+9.0,"Finished 10.09, full 2x2 in Latin order 3 (C-D-B-A). Baselines and final both on NOISE so change scores are internally matched, but training was on ripple - pools cleanly with neither era. Adaptation dPE +5.9 is confounded with a 9.8 deg drop in elevation bias while gain moves only +0.11; no own-HRTF block on the final day to separate them. Laser offset +9.0 day 1.",C: untrained-ear / same-loc,D: untrained-ear / mirrored-loc (main),B: trained-ear / mirrored-loc,A: trained-ear / same-loc (baseline)
run_2607_2609,8,PF,right,4,D-A-C-B,not_a_participant,-,1,2,none,-,-,"Paul's own self-test (2 training games, no donor localization blocks ever run). Occupies no design cell. Cell R/4 reopened.",D: untrained-ear / mirrored-loc (main),A: trained-ear / same-loc (baseline),C: untrained-ear / same-loc,B: trained-ear / mirrored-loc
ripple_n8,9,(assign),left,1,A-B-D-C,open,ripple,,,,,,Open cell needed to reach N=8 analysable ripple-era subjects (LS R/1 and GM R/3 hold the other two). Fill the subject id on day 1.,A: trained-ear / same-loc (baseline),B: trained-ear / mirrored-loc,D: untrained-ear / mirrored-loc (main),C: untrained-ear / same-loc
ripple_n8,10,(assign),left,2,B-C-A-D,open,ripple,,,,,,Open cell needed to reach N=8 analysable ripple-era subjects (LS R/1 and GM R/3 hold the other two). Fill the subject id on day 1.,B: trained-ear / mirrored-loc,C: untrained-ear / same-loc,A: trained-ear / same-loc (baseline),D: untrained-ear / mirrored-loc (main)
ripple_n8,11,(assign),left,3,C-D-B-A,open,ripple,,,,,,Open cell needed to reach N=8 analysable ripple-era subjects (LS R/1 and GM R/3 hold the other two). Fill the subject id on day 1.,C: untrained-ear / same-loc,D: untrained-ear / mirrored-loc (main),B: trained-ear / mirrored-loc,A: trained-ear / same-loc (baseline)
ripple_n8,12,(assign),left,4,D-A-C-B,open,ripple,,,,,,Open cell needed to reach N=8 analysable ripple-era subjects (LS R/1 and GM R/3 hold the other two). Fill the subject id on day 1.,D: untrained-ear / mirrored-loc (main),A: trained-ear / same-loc (baseline),C: untrained-ear / same-loc,B: trained-ear / mirrored-loc
ripple_n8,13,(assign),right,2,B-C-A-D,open,ripple,,,,,,Open cell needed to reach N=8 analysable ripple-era subjects (LS R/1 and GM R/3 hold the other two). Fill the subject id on day 1.,B: trained-ear / mirrored-loc,C: untrained-ear / same-loc,A: trained-ear / same-loc (baseline),D: untrained-ear / mirrored-loc (main)
ripple_n8,14,(assign),right,4,D-A-C-B,open,ripple,,,,,,Open cell needed to reach N=8 analysable ripple-era subjects (LS R/1 and GM R/3 hold the other two). Fill the subject id on day 1.,D: untrained-ear / mirrored-loc (main),A: trained-ear / same-loc (baseline),C: untrained-ear / same-loc,B: trained-ear / mirrored-loc
ripple_n16_conditional,15,(assign),left,1,A-B-D-C,conditional,ripple,,,,,,"Second replicate, to be run ONLY if the interim check at N=8 shows trained-ear learning outside the 75-trial noise band (dPE_A >= 5.9 deg or dEG_A >= 0.25). See the audit note for the power argument.",A: trained-ear / same-loc (baseline),B: trained-ear / mirrored-loc,D: untrained-ear / mirrored-loc (main),C: untrained-ear / same-loc
ripple_n16_conditional,16,(assign),left,2,B-C-A-D,conditional,ripple,,,,,,"Second replicate, to be run ONLY if the interim check at N=8 shows trained-ear learning outside the 75-trial noise band (dPE_A >= 5.9 deg or dEG_A >= 0.25). See the audit note for the power argument.",B: trained-ear / mirrored-loc,C: untrained-ear / same-loc,A: trained-ear / same-loc (baseline),D: untrained-ear / mirrored-loc (main)
